mc,dm
纪江路,001760
白鹤镇鹤江路,291660
桂江路,005550
盈江路,005246
曲江路,001896
芙蓉江路,002492
牡丹江路,002697
张江镇张江路,011931
汇江路,028014
张江镇益江路,027679
江桥镇曲江路,021902
张江镇申江路,027308
海江路,005630
朱泾镇秀江路,283229
申江路,010477
青虬江路,031246
元江路,000485
松花江路,003922
小华江路,010212
新松江路,272025
朱家角镇叶荡江路,290251
江桥镇丰江路,021919
大江路,272923
碧江路,008326
徐泾镇沿江路,290096
天江路,030909
江桥镇申江路,021918
丰江路,022112
芝江路,261774
宏江路,030029
共江路,001577
北江路,030797
紫江路,007495
孙桥镇张江路,024170
桃江路,005856
耀江路,028786
白虬江路,292877
扬子江路,002169
控江路,006708
环江路,003574
江桥申江路,023209
中江路,000524
春江路,004560
临江路,004747
两江路,030508
彭江路,007418
浩江路,031128
怒江路,005102
西渡沿江路,263063
嫩江路,008382
江桥镇华江路,021942
三江路,000596
七九江路,010126
工业区茸江路,270686
山阳镇金江路,280580
京江路,003720
内江路,000349
平江路,001068
泉江路,030412
真江路,006242
凌江路,028943
浦江路,005766
龙江路,000932
双江路,010325
滨江路,303438
虬江路,002714
白鹤镇赵江路,291688
佘山镇九江路,273103
鸭绿江路,006174
润江路,031502
长江路,000227
瀛江路,303485
白鹤镇浦江路,290843
澄江路,008656
庄行镇沿江路,262844
九江路,000012
南江路,004890
新河镇新江路,300465
吴江路,002874
墨江路,008696
国江路,028177
金沙江路,003674
华江路,023042
工业区加江路,272136
丽江路,002630
南石桥路,031029
高庙南石桥,011327
南桥人民北路,262394
南桥人民南路,262396
邵厂富民路,261728
四团镇彭平路,261035
泥城镇彭平路,252521
四团镇邵厂路,260567
四团镇邵厂路市场弄,260325
邵厂青年路,261730
四团镇邵平路,261538
黄渡镇横河村,021834
堡镇横河沿,300357
城桥镇鳌山村横河,300905
横河公路,023046
四团镇横河路,261155
四团镇彭平路,261035
彭平公路,261724
泥城镇彭平路,252521
彭平东路,254790
奉城镇神州路,261908
奉城镇市河路,260327
四团北街,262638
惠南镇钦公塘路,252067
东河边,010435
四团中街,262640
新林路,008024
柘林镇新林路,261404
奉城镇西门港路,261922
金汇镇泰日新建路,262156
奉城镇塘外人民路,261914
金汇镇航塘路,260893
奉城镇紫苑街,261574
奉城镇塘外文化街,261916
四团镇天鹏街,262626
奉城镇头桥广福路,261918
万丰路,262929
金汇镇腾飞路,262162
南桥镇望民路,261527
青村镇望民路,261526
山阳镇农贸路,280359
柘林镇胡桥农贸路,260463
胡桥镇农贸路,260388
金汇中街,262172
文明东街,262931
四团镇文鹏路,261548
四团镇鹏程街,261134
嘉定工业区龙泉路,020936
青村镇龙泉路,260299
庄行镇邬康路,261528
南桥镇西渡北虹路,262312
中横泾路,292895
西韩路,261742
西河路,284212
南桥镇肖塘街,260589
柘林镇新粮路,262754
南桥镇解放新村,261063
南桥镇扶港路,262228
南桥镇秀南一支路,262330
南桥镇大桥公寓,261333
南桥镇曙光村,261207
南桥镇望钱路,262308
南桥镇益民村,260947
南桥镇水帘洞新村,260149
南桥镇船新路,262218
南桥镇南虹路,262287
南桥镇立新路,260289
南桥镇江南路,262272
南桥镇百川路,262200
南桥镇人民村,260031
南桥镇南新路,260754
南桥镇大寺路,260067
南桥镇六墩村,260129
南桥镇众旺苑,260166
南桥镇团结弄,260451
南桥镇江海花园,261256
南桥镇育秀路,260628
南桥镇朝阳新村,261407
南桥镇光钱路,262249
南桥镇南桥新村,260819
南桥镇新民弄,262324
南桥镇古华路,260269
南桥镇关港村,260373
南桥镇南亭公路,260814
南桥镇高州路,262238
南桥镇远东路,261403
南桥镇贝港新村,260114
南桥镇生产弄,260228
南桥镇江海南路,262270
南桥镇环城西路,261098
南桥镇连州路,262280
南桥镇华更路,262261
南桥镇肖玻路,262318
南桥红旗路,263048
南桥镇新建西路,261099
南桥镇新奉路,262322
南桥镇菊花苑,261332
南桥镇华松路,262260
南桥镇杨通路,262346
南桥镇耀杨路,262352
南桥镇鸿乐路,262255
南桥镇同迎路,262300
南桥镇解放中路,261064
南桥镇军民村,260417
南桥镇南奉公路,260801
南桥镇浦城苑,261297
南桥镇南星村,260827
南桥镇展发路,262366
南桥镇育秀,260105
南桥镇曙光新村,261211
南桥镇人民北路,260049
南桥南星路,262392
南桥运河北路,262406
南桥镇亿松路,262354
南桥镇剧场路,261411
南桥人民北路,262394
南桥镇龙塘路,262282
南桥镇秀南二支路,262332
南桥镇光村路,262242
南桥镇南新新村,260825
南桥镇树浜村,260849
南桥镇江海花苑,261266
南桥镇振贤路,260951
南桥镇光迎路,262250
南桥镇灯塔村,260369
南桥镇新风弄,261401
南桥镇慈杨路,262220
南桥镇奉金路,262224
南桥镇研发路,262340
南桥镇科技路,260793
南桥镇军民花苑,261267
南桥镇团结路,260449
南桥镇云台弄,260118
南桥镇华宛新村,260405
南桥国顺路,262384
南桥镇江海村,260413
南桥镇杨跃路,262350
南桥镇普康苑,260106
南桥镇典当弄,260621
南桥镇果园新村,261334
南桥镇电大路,261402
南桥镇蓝天苑,260004
南桥镇红星村,260513
南桥镇红旗弄,260397
南桥镇联欢村,261029
南桥镇立新北路,260290
南桥镇百齐路,262208
南桥镇人民路,260039
南桥镇鸿宝二村,261329
南桥镇西闸公路,262316
南桥镇果园小区,260886
南桥镇解放路,261061
南桥镇万龙新村,260002
南桥镇肖翁路,262320
南桥镇三官街,261415
南桥镇文化路,261417
青村镇新群路,261556
柘林镇新寺老街,262758
庄行镇新婉路,261506
新场镇新环东路,253089
川环东路,027734
良环东路,254658
巡环东路,273306
竹港新村,261260
柘林镇竹港新村,260390
海湾旅游区兴农路,261552
新河镇北新公路,300946
